vin,date,destino,movimiento,user,clima,lugar,type,localSQL_id
8AWJW62H0SA041839,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H1SA034561,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H1SA039551,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H2SA034391,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H3SA041513,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H3SA041639,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H3SA041687,2026-02-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H4SA033498,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H4SA033520,2025-12-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H4SA036854,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H5SA041769,2026-02-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H6SA036290,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H6SA036841,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H7SA042180,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H8SA035495,2026-02-11T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA034414,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA035921,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA035997,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA036499,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA041637,2026-02-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH0TP035827,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH1TP040387,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH2TP042360,2026-02-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH5TP032969,2025-12-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH5TP041719,2026-02-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH6TP035461,2025-12-20T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH6TP039283,2026-01-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH6TP041616,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH8TP041455,2026-01-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH9TP035549,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CHXTP034989,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CHXTP040565,2026-02-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CHXTP042008,2026-02-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH0TP041773,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH5TP035449,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH7TP041964,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH7TP041978,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH7TP041981,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH2TP042391,2026-02-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH9TP040766,2026-02-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH9TP042078,2026-02-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWCH6CH9TP042081,2026-02-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAH5BZ0TT640773,2025-12-15T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAH5BZ0TT641132,2025-12-15T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAH5BZ1TT631368,2025-12-15T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAH5BZ0TT640126,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAH5BZ0TT640210,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAH5BZ1TT640362,2025-12-04T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAH5BZ1TT640376,2025-12-04T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAH5BZ2TT629306,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAH5BZXTT643583,2026-01-12T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ0TT641985,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ0TT642196,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ0TT642909,2025-12-20T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ0TT643560,2025-12-22T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ1TT642160,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ2TT637999,2026-02-11T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ2TT640532,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ2TT642989,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ2TT644094,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ3TT641950,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ3TT641964,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ3TT643312,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ4TT640662,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ4TT643514,2025-12-22T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ5TT642193,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ5TT643635,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ6TT641022,2025-12-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ6TT641991,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ6TT642087,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ6TT642929,2025-12-20T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ6TT643515,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ6TT643613,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ6TT644146,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ8TT641457,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ8TT641992,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ8TT643399,2025-12-22T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ9TT637059,2026-02-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ9TT642150,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ9TT643878,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZ9TT644206,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZXTT640309,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZXTT640598,2025-12-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZXTT642156,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZXTT643890,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZXTT643923,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZXTT644151,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWAL5BZXTT644196,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWBH6BF2T4033705,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWBH6BF2T4050357,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWBH6BF8T4055563,2026-02-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWBH6BF8T4056082,2026-02-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWBH6BF9T4050050,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWBH6BF9T4050453,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWBH6BF9T4055815,2026-02-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWDL6BZ0T4009419,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWDL6BZ2T4008370,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWDL6BZ2T4009471,2026-01-12T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWDL6BZ2T4009745,2025-12-22T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWDL6BZ4T4009083,2025-12-19T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWDL6BZ5T4012395,2026-02-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWDL6BZ8T4005618,2025-12-19T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWDL6BZ8T4009281,2026-02-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWDL6BZXT4008245,2025-12-15T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWDL6BZXT4008553,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
9BWJL45U8TP042688,2026-01-28T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B20TM017983,2026-01-06T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B20TM021273,2025-12-15T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B21TM009391,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B21TM010296,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B21TM013540,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B21TM013568,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B21TM021279,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B22TM011070,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B22TM021579,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B24TM010194,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B24TM015332,2025-12-15T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B24TM017775,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B24TM019882,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B25TM016277,2026-01-12T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B25TM018871,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B25TM018983,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B25TM019146,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B25TM021009,2025-12-22T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B25TM021639,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B26TM011654,2025-12-15T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B26TM017941,2026-01-12T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B26TM021522,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B26TM021567,2025-12-15T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B27TM013185,2025-12-15T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B27TM018323,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B27TM019777,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B27TM021898,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B29TM020557,2025-12-15T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B2XTM020549,2026-01-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVAP6B2XTM020972,2025-12-22T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVJP6B20TM008801,2025-12-18T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVJP6B20TM010094,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVJP6B20TM012475,2025-12-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVJP6B20TM012511,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVJP6B20TM013271,2025-12-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVJP6B20TM013920,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVJP6B20TM014243,2025-12-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVJP6B20TM014565,2025-12-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVJP6B20TM014937,2025-12-09T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
3VVJP6B20TM019622,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
