"idtdestinatario","codigofabrica","nombre","domicilio","idlocalidad","codigopostal","localidad","provincia","pais","tipodestinatario","descripcion","full_address","gps_coords"
"200000002674","0016"," SOUND FOUNDATION ","AV. SARMIENTO 2704","142500.0","0.0","CAP. FEDERAL","CAPITAL FEDERAL","ARGENTINA                                         ","OTROS DESTINOS","SOUND FOUNDATION (AV. SARMIENTO 2704 Loc.CAP. FEDERAL)","AV. SARMIENTO 2704, CAP. FEDERAL, CAPITAL FEDERAL, ARGENTINA, 0.0, SOUND FOUNDATION (AV. SARMIENTO 2704 Loc.CAP. FEDERAL)",""
"200000002675","0018","HOTEL  NH PROVINCIAL","AV. PERALTA RAMOS 2400","19163.0","0.0","MAR DEL PLATA","BUENOS AIRES","ARGENTINA                                         ","OTROS DESTINOS","HOTEL  NH PROVINCIAL (AV. PERALTA RAMOS 2400 Loc.MAR DEL PLATA)","AV. PERALTA RAMOS 2400, MAR DEL PLATA, BUENOS AIRES, ARGENTINA, 0.0, HOTEL  NH PROVINCIAL (AV. PERALTA RAMOS 2400 Loc.MAR DEL PLATA)",""
"521","0019","AUTOMOTORES RIVADAVIA S.A.              ","RIVADAVIA 6103","","1406.0","","","","CONCESIONARIOS","AUTOMOTORES RIVADAVIA S.A.              ","RIVADAVIA 6103, 1406.0, AUTOMOTORES RIVADAVIA S.A.",""
"200000002667","0022","LA GUAPEADA","AUTOPISTA EZEIZA - CAÑUELA","1083.0","0.0","EZEIZA","BUENOS AIRES","ARGENTINA                                         ","OTROS DESTINOS","LA GUAPEADA (AUTOPISTA EZEIZA - CAÑUELA Loc.EZEIZA)","AUTOPISTA EZEIZA - CAÑUELA, EZEIZA, BUENOS AIRES, ARGENTINA, 0.0, LA GUAPEADA (AUTOPISTA EZEIZA - CAÑUELA Loc.EZEIZA)",""
"522","0029","SERRA LIMA S.A.C. E I.                  ","AV. CORDOBA 3100","1425.0","1187.0","CIUDAD AUTONOMA DE BS.AS (CAP.FED.)","CAPITAL FEDERAL","ARGENTINA                                         ","CONCESIONARIOS","SERRA LIMA S.A.C. E I. (AV. CORDOBA 3100 Loc.CIUDAD AUTONOMA DE BS.AS (CAP.FED.))","AV. CORDOBA 3100, CIUDAD AUTONOMA DE BS.AS (CAP.FED.), CAPITAL FEDERAL, ARGENTINA, 1187.0, SERRA LIMA S.A.C. E I. (AV. CORDOBA 3100 Loc.CIUDAD AUTONOMA DE BS.AS (CAP.FED.))",""
"500","00447","CAR-ONE S.A.                            ","MAIPU 1300; PISO 10","1425.0","0.0","CIUDAD AUTONOMA DE BS.AS (CAP.FED.)","CAPITAL FEDERAL","ARGENTINA                                         ","CONCESIONARIOS","CAR-ONE S.A. (MAIPU 1300; PISO 10 Loc.CIUDAD AUTONOMA DE BS.AS (CAP.FED.))","MAIPU 1300; PISO 10, CIUDAD AUTONOMA DE BS.AS (CAP.FED.), CAPITAL FEDERAL, ARGENTINA, 0.0, CAR-ONE S.A. (MAIPU 1300; PISO 10 Loc.CIUDAD AUTONOMA DE BS.AS (CAP.FED.))",""
"523","0050","GARELLO HNOS S.A.C. E I.                ","BOULEVARD R.S.PE%A 1482","","2173.0","","","","CONCESIONARIOS","GARELLO HNOS S.A.C. E I.                ","BOULEVARD R.S.PE%A 1482, 2173.0, GARELLO HNOS S.A.C. E I.",""
"200000001792","0050","TAUBATE VOLKSWAGEN","TAUBATE","300000.0","0.0","TAUBATE","SAN PABLO","BRASIL                                            ","INTERNACIONAL","TAUBATE VOLKSWAGEN (TAUBATE Loc.TAUBATE)","TAUBATE, TAUBATE, SAN PABLO, BRASIL, 0.0, TAUBATE VOLKSWAGEN (TAUBATE Loc.TAUBATE)",""
"200000002677","0052","HAUSWAGEN (SUC. ESCOBAR) ","PANAMERICANA RAMAL ESCOBAR KM. 50 (SOBRE COLECTORA ESTE)","309.0","0.0","ESCOBAR(BUENOS AIRES)","BUENOS AIRES","ARGENTINA                                         ","OTROS DESTINOS","HAUSWAGEN (SUC. ESCOBAR) (PANAMERICANA RAMAL ESCOBAR KM. 50 (SOBRE COLECTORA ESTE) Loc.ESCOBAR(BUENOS AIRES))","PANAMERICANA RAMAL ESCOBAR KM. 50 (SOBRE COLECTORA ESTE), ESCOBAR(BUENOS AIRES), BUENOS AIRES, ARGENTINA, 0.0, HAUSWAGEN (SUC. ESCOBAR) (PANAMERICANA RAMAL ESCOBAR KM. 50 (SOBRE COLECTORA ESTE) Loc.ESCOBAR(BUENOS AIRES))",""
"200000002681","0056","CLUB BROWN- BARRIO PICHINCHA (AV. FRANCIA Y BROWN)- ROSARIO","AV. FRANCIA Y BROWN","1652.0","0.0","ROSARIO (SANTA FE)","SANTA FE","ARGENTINA                                         ","OTROS DESTINOS","CLUB BROWN- BARRIO PICHINCHA (AV. FRANCIA Y BROWN)- ROSARIO (AV. FRANCIA Y BROWN Loc.ROSARIO (SANTA FE))","AV. FRANCIA Y BROWN, ROSARIO (SANTA FE), SANTA FE, ARGENTINA, 0.0, CLUB BROWN- BARRIO PICHINCHA (AV. FRANCIA Y BROWN)- ROSARIO (AV. FRANCIA Y BROWN Loc.ROSARIO (SANTA FE))",""
"200000002684","0057","PALACIO DUHAU PARK HYATT BUENOS AIRES"," AVENIDA ALVEAR 1661, C1014AAD BUENOS AIRES","142500.0","0.0","CAP. FEDERAL","CAPITAL FEDERAL","ARGENTINA                                         ","OTROS DESTINOS","PALACIO DUHAU PARK HYATT BUENOS AIRES ( AVENIDA ALVEAR 1661, C1014AAD BUENOS AIRES Loc.CAP. FEDERAL)","AVENIDA ALVEAR 1661, C1014AAD BUENOS AIRES, CAP. FEDERAL, CAPITAL FEDERAL, ARGENTINA, 0.0, PALACIO DUHAU PARK HYATT BUENOS AIRES ( AVENIDA ALVEAR 1661, C1014AAD BUENOS AIRES Loc.CAP. FEDERAL)",""
"524","0058","LOWE Y CIA S.A.I.C.F.I.                 ","AVDA. SAN MARTIN 873 ","4916.0","3372.0","ELDORADO","MISIONES","ARGENTINA                                         ","CONCESIONARIOS","LOWE Y CIA S.A.I.C.F.I. (AVDA. SAN MARTIN 873  Loc.ELDORADO)","AVDA. SAN MARTIN 873, ELDORADO, MISIONES, ARGENTINA, 3372.0, LOWE Y CIA S.A.I.C.F.I. (AVDA. SAN MARTIN 873  Loc.ELDORADO)",""
"525","0059","SEMAR S.A.                              ","RIVADAVIA 3153                        SANTA FE","","3000.0","","","","CONCESIONARIOS","SEMAR S.A.                              ","RIVADAVIA 3153                        SANTA FE, 3000.0, SEMAR S.A.",""
"503","00704","ELEVE AUT.                              ","","1425.0","0.0","CIUDAD AUTONOMA DE BS.AS (CAP.FED.)","CAPITAL FEDERAL","ARGENTINA                                         ","CONCESIONARIOS","ELEVE AUT.                              ","CIUDAD AUTONOMA DE BS.AS (CAP.FED.), CAPITAL FEDERAL, ARGENTINA, 0.0, ELEVE AUT.",""
"506","00708","CORBELLA & ASOC.                        ","SAN MARTIN 950","6765.0","0.0","SAN MIGUEL DE TUCUMAN","TUCUMAN","ARGENTINA                                         ","CONCESIONARIOS","CORBELLA & ASOC. (SAN MARTIN 950 Loc.SAN MIGUEL DE TUCUMAN)","SAN MARTIN 950, SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA, 0.0, CORBELLA & ASOC. (SAN MARTIN 950 Loc.SAN MIGUEL DE TUCUMAN)",""
"508","00710","FEDERICO LACASA AUTOMOTORES             ","RAMOS MEJIA","844.0","0.0","RAMOS MEJIA","BUENOS AIRES","ARGENTINA                                         ","CONCESIONARIOS","FEDERICO LACASA AUTOMOTORES (RAMOS MEJIA Loc.RAMOS MEJIA)","RAMOS MEJIA, RAMOS MEJIA, BUENOS AIRES, ARGENTINA, 0.0, FEDERICO LACASA AUTOMOTORES (RAMOS MEJIA Loc.RAMOS MEJIA)",""
"512","00715","LECAR S.A.                              ","BRASIL 410                     MENDOZA         MENDOZA","14678.0","5500.0","MENDOZA(MENDOZA)","MENDOZA","ARGENTINA                                         ","CONCESIONARIOS","LECAR S.A. (BRASIL 410                     MENDOZA         MENDOZA Loc.MENDOZA(MENDOZA))","BRASIL 410                     MENDOZA         MENDOZA, MENDOZA(MENDOZA), MENDOZA, ARGENTINA, 5500.0, LECAR S.A. (BRASIL 410                     MENDOZA         MENDOZA Loc.MENDOZA(MENDOZA))",""
"526","0072","BRADFORD S.A.C.I.A.F.                   ","RIVADAVIA Y SAN MARTIN","","6230.0","","","","CONCESIONARIOS","BRADFORD S.A.C.I.A.F.                   ","RIVADAVIA Y SAN MARTIN, 6230.0, BRADFORD S.A.C.I.A.F.",""
"527","0081","KROMOS S.A.                             ","J.J. ROLON 44","","3450.0","","","","CONCESIONARIOS","KROMOS S.A.                             ","J.J. ROLON 44, 3450.0, KROMOS S.A.",""
"528","0085","RICARDO RISATTI S.A.                    ","ESPAÑA  2","","6120.0","","","","CONCESIONARIOS","RICARDO RISATTI S.A.                    ","ESPAÑA  2, 6120.0, RICARDO RISATTI S.A.",""
"100000001629","008OP","P ROSARIO OP SPOT","GRAL. ALVEAR ","16520.0","0.0","ROSARIO OP SPOT GM","SANTA FE","ARGENTINA                                         ","PLAYAS DE TERCEROS","P ROSARIO OP SPOT (GRAL. ALVEAR  Loc.ROSARIO OP SPOT GM)","GRAL. ALVEAR, ROSARIO OP SPOT GM, SANTA FE, ARGENTINA, 0.0, P ROSARIO OP SPOT (GRAL. ALVEAR  Loc.ROSARIO OP SPOT GM)",""
"200000000014","008R1","PLANTA ROSARIO","RUTA 9 KM.274","1652.0","0.0","ROSARIO (SANTA FE)","SANTA FE","ARGENTINA                                         ","SUCURSALES","PLANTA ROSARIO (RUTA 9 KM.274 Loc.ROSARIO (SANTA FE))","RUTA 9 KM.274, ROSARIO (SANTA FE), SANTA FE, ARGENTINA, 0.0, PLANTA ROSARIO (RUTA 9 KM.274 Loc.ROSARIO (SANTA FE))",""
"300000000037","008R1U","PLANTA GENERAL MOTORS ROSARIO","ALVEAR","1652.0","0.0","ROSARIO (SANTA FE)","SANTA FE","ARGENTINA                                         ","FABRICA - TERMINAL","PLANTA GENERAL MOTORS ROSARIO (ALVEAR Loc.ROSARIO (SANTA FE))","ALVEAR, ROSARIO (SANTA FE), SANTA FE, ARGENTINA, 0.0, PLANTA GENERAL MOTORS ROSARIO (ALVEAR Loc.ROSARIO (SANTA FE))",""
"386","00A07","INTERAMERICA AUT. S.A.                  ","COLON 735                      AZUL","18895.0","7300.0","AZUL","BUENOS AIRES","ARGENTINA                                         ","CONCESIONARIOS","INTERAMERICA AUT. S.A. (COLON 735                      AZUL Loc.AZUL)","COLON 735                      AZUL, AZUL, BUENOS AIRES, ARGENTINA, 7300.0, INTERAMERICA AUT. S.A. (COLON 735                      AZUL Loc.AZUL)",""
"387","00A08","FRANCISCO DELIA AUT.                    ","PEREYRA 3190 ESQ.RIVADAVIA -   SALADILLO","17524.0","4319.0","SALADILLO(BUENOS AIRES)","BUENOS AIRES","ARGENTINA                                         ","CONCESIONARIOS","FRANCISCO DELIA AUT. (PEREYRA 3190 ESQ.RIVADAVIA -   SALADILLO Loc.SALADILLO(BUENOS AIRES))","PEREYRA 3190 ESQ.RIVADAVIA -   SALADILLO, SALADILLO(BUENOS AIRES), BUENOS AIRES, ARGENTINA, 4319.0, FRANCISCO DELIA AUT. (PEREYRA 3190 ESQ.RIVADAVIA -   SALADILLO Loc.SALADILLO(BUENOS AIRES))",""
"389","00A10","GEMSA AUTOMOTORES S.A.","AV.B.ARAOZ 1205 ","6765.0","4000.0","SAN MIGUEL DE TUCUMAN","TUCUMAN","ARGENTINA                                         ","CONCESIONARIOS","GEMSA AUTOMOTORES S.A. (AV.B.ARAOZ 1205  Loc.SAN MIGUEL DE TUCUMAN)","AV.B.ARAOZ 1205, SAN MIGUEL DE TUCUMAN, TUCUMAN, ARGENTINA, 4000.0, GEMSA AUTOMOTORES S.A. (AV.B.ARAOZ 1205  Loc.SAN MIGUEL DE TUCUMAN)",""
"391","00A12","CAPSA CAMIONES PATAGONICOS              ","ESPAÑA 365 ","20143.0","9100.0","TRELEW","CHUBUT","ARGENTINA                                         ","CONCESIONARIOS","CAPSA CAMIONES PATAGONICOS (ESPAÑA 365  Loc.TRELEW)","ESPAÑA 365, TRELEW, CHUBUT, ARGENTINA, 9100.0, CAPSA CAMIONES PATAGONICOS (ESPAÑA 365  Loc.TRELEW)",""
"393","00A14","COMAR AUTOMOTORES S.A.                  ","MAR DEL PLATA","19163.0","7600.0","MAR DEL PLATA","BUENOS AIRES","ARGENTINA                                         ","CONCESIONARIOS","COMAR AUTOMOTORES S.A. (MAR DEL PLATA Loc.MAR DEL PLATA)","MAR DEL PLATA, MAR DEL PLATA, BUENOS AIRES, ARGENTINA, 7600.0, COMAR AUTOMOTORES S.A. (MAR DEL PLATA Loc.MAR DEL PLATA)",""
"398","00A19","SAMEGA S.A.                             ","RIO GRANDE      TIERRA DEL FUEG","","9420.0","","","","CONCESIONARIOS","SAMEGA S.A.                             ","RIO GRANDE      TIERRA DEL FUEG, 9420.0, SAMEGA S.A.",""
"401","00A22","FULL MOTOR S.A.                         ","AV.BANDERA DE LOS ANDES 5378   GUAYMALLEN      MENDOZA","14320.0","5519.0","GUAYMALLEN","MENDOZA","ARGENTINA                                         ","CONCESIONARIOS","FULL MOTOR S.A. (AV.BANDERA DE LOS ANDES 5378   GUAYMALLEN      MENDOZA Loc.GUAYMALLEN)","AV.BANDERA DE LOS ANDES 5378   GUAYMALLEN      MENDOZA, GUAYMALLEN, MENDOZA, ARGENTINA, 5519.0, FULL MOTOR S.A. (AV.BANDERA DE LOS ANDES 5378   GUAYMALLEN      MENDOZA Loc.GUAYMALLEN)",""
"405","00A26","VICTOR TOLOSA S.A.                      ","PILAR","24003.0","1635.0","PILAR GM VICTOR TOLOSA","BUENOS AIRES","ARGENTINA                                         ","CONCESIONARIOS","VICTOR TOLOSA S.A. (PILAR Loc.PILAR GM VICTOR TOLOSA)","PILAR, PILAR GM VICTOR TOLOSA, BUENOS AIRES, ARGENTINA, 1635.0, VICTOR TOLOSA S.A. (PILAR Loc.PILAR GM VICTOR TOLOSA)",""
"407","00A28","LIDER AUTOMOTORES S.A.                  ","AVDA. CASEROS 1377","19687.0","8500.0","VIEDMA","RIO NEGRO","ARGENTINA                                         ","CONCESIONARIOS","LIDER AUTOMOTORES S.A. (AVDA. CASEROS 1377 Loc.VIEDMA)","AVDA. CASEROS 1377, VIEDMA, RIO NEGRO, ARGENTINA, 8500.0, LIDER AUTOMOTORES S.A. (AVDA. CASEROS 1377 Loc.VIEDMA)",""
"410","00A32","COINAUTO S.A.","LOPEZ Y PLANES 4372            SANTA FE        SANTA FE","2957.0","3000.0","SANTA FE","SANTA FE","ARGENTINA                                         ","CONCESIONARIOS","COINAUTO S.A. (LOPEZ Y PLANES 4372            SANTA FE        SANTA FE Loc.SANTA FE)","LOPEZ Y PLANES 4372            SANTA FE        SANTA FE, SANTA FE, SANTA FE, ARGENTINA, 3000.0, COINAUTO S.A. (LOPEZ Y PLANES 4372            SANTA FE        SANTA FE Loc.SANTA FE)",""
"417","00A39","RAMONDA MOTORS S.A.","VILLA MARIA     CORDOBA","16461.0","5900.0","VILLA MARIA(CORDOBA)","CORDOBA","ARGENTINA                                         ","CONCESIONARIOS","RAMONDA MOTORS S.A. (VILLA MARIA     CORDOBA Loc.VILLA MARIA(CORDOBA))","VILLA MARIA     CORDOBA, VILLA MARIA(CORDOBA), CORDOBA, ARGENTINA, 5900.0, RAMONDA MOTORS S.A. (VILLA MARIA     CORDOBA Loc.VILLA MARIA(CORDOBA))",""
"428","00A52","FRAGA AUTOMORES S.A.                    ","CIUDADELA","841.0","1702.0","CIUDADELA","BUENOS AIRES","ARGENTINA                                         ","CONCESIONARIOS","FRAGA AUTOMORES S.A. (CIUDADELA Loc.CIUDADELA)","CIUDADELA, CIUDADELA, BUENOS AIRES, ARGENTINA, 1702.0, FRAGA AUTOMORES S.A. (CIUDADELA Loc.CIUDADELA)",""
"434","00A59","MEGUI S.A.                              ","PTE. PERON 2043                SAN MIGUEL","752.0","1663.0","SAN MIGUEL(BUENOS AIRES)","BUENOS AIRES","ARGENTINA                                         ","CONCESIONARIOS","MEGUI S.A. (PTE. PERON 2043                SAN MIGUEL Loc.SAN MIGUEL(BUENOS AIRES))","PTE. PERON 2043                SAN MIGUEL, SAN MIGUEL(BUENOS AIRES), BUENOS AIRES, ARGENTINA, 1663.0, MEGUI S.A. (PTE. PERON 2043                SAN MIGUEL Loc.SAN MIGUEL(BUENOS AIRES))",""
"435","00A60","GONZALEZ AUTOMOVILES                    ","POSADAS         MISIONES","4380.0","3300.0","POSADAS","MISIONES","ARGENTINA                                         ","CONCESIONARIOS","GONZALEZ AUTOMOVILES (POSADAS         MISIONES Loc.POSADAS)","POSADAS         MISIONES, POSADAS, MISIONES, ARGENTINA, 3300.0, GONZALEZ AUTOMOVILES (POSADAS         MISIONES Loc.POSADAS)",""
"436","00A61","AUTOMOVILES SAN JORGE S.A.","LA PLATA","24002.0","1187.0","CAPITAL FEDERAL SAN JORGE GM","CAPITAL FEDERAL","ARGENTINA                                         ","CONCESIONARIOS","AUTOMOVILES SAN JORGE S.A. (LA PLATA Loc.CAPITAL FEDERAL SAN JORGE GM)","LA PLATA, CAPITAL FEDERAL SAN JORGE GM, CAPITAL FEDERAL, ARGENTINA, 1187.0, AUTOMOVILES SAN JORGE S.A. (LA PLATA Loc.CAPITAL FEDERAL SAN JORGE GM)",""
"438","00A63","CHEXA S.A.","AV.FUERZA AEREA 3700","12008.0","5972.0","CORDOBA","CORDOBA","ARGENTINA                                         ","CONCESIONARIOS","CHEXA S.A. (AV.FUERZA AEREA 3700 Loc.CORDOBA)","AV.FUERZA AEREA 3700, CORDOBA, CORDOBA, ARGENTINA, 5972.0, CHEXA S.A. (AV.FUERZA AEREA 3700 Loc.CORDOBA)",""
"440","00A65","LAGO S.A.                               ","CASTELLI 831                   BAHIA BLANCA","19171.0","8000.0","BAHIA BLANCA(BUENOS AIRES)","BUENOS AIRES","ARGENTINA                                         ","CONCESIONARIOS","LAGO S.A. (CASTELLI 831                   BAHIA BLANCA Loc.BAHIA BLANCA(BUENOS AIRES))","CASTELLI 831                   BAHIA BLANCA, BAHIA BLANCA(BUENOS AIRES), BUENOS AIRES, ARGENTINA, 8000.0, LAGO S.A. (CASTELLI 831                   BAHIA BLANCA Loc.BAHIA BLANCA(BUENOS AIRES))",""
"443","00A68","ANTIS S.A.                              ","AV.BELGRANO 2049               SALTA           SALTA","9858.0","4400.0","SALTA","SALTA","ARGENTINA                                         ","CONCESIONARIOS","ANTIS S.A. (AV.BELGRANO 2049               SALTA           SALTA Loc.SALTA)","AV.BELGRANO 2049               SALTA           SALTA, SALTA, SALTA, ARGENTINA, 4400.0, ANTIS S.A. (AV.BELGRANO 2049               SALTA           SALTA Loc.SALTA)",""
"200000000013","00A69","DAMICO","DAMICO - MORENO","943.0","0.0","MORENO(BUENOS AIRES)","BUENOS AIRES","ARGENTINA                                         ","CONCESIONARIOS","DAMICO (DAMICO - MORENO Loc.MORENO(BUENOS AIRES))","DAMICO - MORENO, MORENO(BUENOS AIRES), BUENOS AIRES, ARGENTINA, 0.0, DAMICO (DAMICO - MORENO Loc.MORENO(BUENOS AIRES))",""
"447","00A72","M.S. AUTOMOTORES                        ","AV.GUTNISKI 1936               FORMOSA         FORMOSA","6133.0","3600.0","FORMOSA","FORMOSA","ARGENTINA                                         ","CONCESIONARIOS","M.S. AUTOMOTORES (AV.GUTNISKI 1936               FORMOSA         FORMOSA Loc.FORMOSA)","AV.GUTNISKI 1936               FORMOSA         FORMOSA, FORMOSA, FORMOSA, ARGENTINA, 3600.0, M.S. AUTOMOTORES (AV.GUTNISKI 1936               FORMOSA         FORMOSA Loc.FORMOSA)",""
"448","00A73","ARAUCAR MOTORS S.A.                     ","MOSEÑOR BUFANO","964.0","1752.0","LOMAS DEL MIRADOR","BUENOS AIRES","ARGENTINA                                         ","CONCESIONARIOS","ARAUCAR MOTORS S.A. (MOSEÑOR BUFANO Loc.LOMAS DEL MIRADOR)","MOSEÑOR BUFANO, LOMAS DEL MIRADOR, BUENOS AIRES, ARGENTINA, 1752.0, ARAUCAR MOTORS S.A. (MOSEÑOR BUFANO Loc.LOMAS DEL MIRADOR)",""
"449","00A74","MS AUTOMOTORES S.A.","AV.25 DE MAYO 1676","5744.0","3700.0","RESISTENCIA(CHACO)","CHACO","ARGENTINA                                         ","CONCESIONARIOS","MS AUTOMOTORES S.A. (AV.25 DE MAYO 1676 Loc.RESISTENCIA(CHACO))","AV.25 DE MAYO 1676, RESISTENCIA(CHACO), CHACO, ARGENTINA, 3700.0, MS AUTOMOTORES S.A. (AV.25 DE MAYO 1676 Loc.RESISTENCIA(CHACO))",""
"450","00A75","COLLINS AUTOMOTORES S.A.                ","SANTO TOME 4539 (ENTRE AV. SEGUROLA Y MARCOS PAZ)","3.0","1187.0","CAPITAL FEDERAL (GT)","CAPITAL FEDERAL","ARGENTINA                                         ","CONCESIONARIOS","COLLINS AUTOMOTORES S.A. (SANTO TOME 4539 (ENTRE AV. SEGUROLA Y MARCOS PAZ) Loc.CAPITAL FEDERAL (GT))","SANTO TOME 4539 (ENTRE AV. SEGUROLA Y MARCOS PAZ), CAPITAL FEDERAL (GT), CAPITAL FEDERAL, ARGENTINA, 1187.0, COLLINS AUTOMOTORES S.A. (SANTO TOME 4539 (ENTRE AV. SEGUROLA Y MARCOS PAZ) Loc.CAPITAL FEDERAL (GT))",""
